私	わたし	我（鄭重、通用）	私[わたし]	<b>私</b>はアンです。	我是安。	<b>私[わたし]</b>はアンです。	也可以讀作「わたくし」（正式）和「あたし」（女性用）。<br>還有更罕見的讀音。	"ワ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">タシ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>"		19	名詞，代詞	
あなた	あなた	你（通常用於不認識對方時）	あなた	<b>あなた</b>はトムさんですか。	您是湯姆桑嗎？	<b>あなた</b>はトムさんですか。		"ア<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ナ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>タ"		136	名詞，代詞	
さん	さん	桑	さん	あなたはトム<b>さん</b>ですか。	你是湯姆桑嗎？	あなたはトム<b>さん</b>ですか。	最常見的中性禮貌尊稱。有點類似於在英語姓名前使用“M.”。	"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">サ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>ン*"	如果名字有重音，さん和所有其他敬语的发音都是低的：高橋さん → たか＼はしさん；而如果名字是平板型，所有敬语也是平的：平田さん就是ひらたさん￣。	35	名詞，作後綴	
彼	かれ	他（代指男性）	彼[かれ]	<b>彼</b>はトムさんです。	他是湯姆桑。	<b>彼[かれ]</b>はトムさんです。		"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">カ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>レ"		150	名詞，代詞	
好き	すき	喜歡，喜愛	好[す]き	私はワインが<b>好き</b>です。	我喜歡葡萄酒。	私[わたし]はワインが<b>好[す]き</b>です。		"<span style=""color: royalblue;"">ス</span><span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">キ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>"		186	形容動詞（+だ/です作謂語）	
人	ひと	人；指一個人或人物。	人[ひと]	あの<b>人</b>はいい人です。	那個人是個好人。	あの<b>人[ひと]</b>はいい 人[ひと]です。		"ヒ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">ト</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>・ヒ<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ト</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>"	修饰时为ひと＼，不修饰时为ひと￣。注意在这种情况下，あの人是あの＼ひと。这是一种例外，その＼ひと也是。	71	名詞	
いい	いい	好的；善良的；優秀的。	いい	あの人は<b>いい</b>人です。	那個人是個好人。	あの 人[ひと]は<b>いい</b> 人[ひと]です。		"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">イ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>イ"		37	形容詞	
人	じん	表示某國的人，指具體國籍的人。	人[じん]	私はイギリス<b>人</b>です。	我是英國人。	私[わたし]はイギリス<b>人[じん]</b>です。	一個添加在國家名稱後的後綴，用來表示來自該國家的人。	"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ジ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>ン*"	作为后缀，在“人”之前会发生下降，因此是イギリス＼人。日本人是一个例外：（にほんじ＼ん）。	71	名詞，作後綴	
日本語	にほんご	日語；日本的語言	日本[にほん] 語[ご]	私は<b>日本語</b>を勉強しています。	我在學習日語。	私[わたし]は<b>日本[にほん] 語[ご]</b>を 勉[べん] 強[きょう]しています。		"ニ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">ホンコ<span style=""color: red;"">°</span></span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>"		5442	名詞	
勉強	べんきょう	學習	勉[べん] 強[きょう]	私は日本語を<b>勉強</b>しています。	我正在學習日語。	私[わたし]は 日本[にほん] 語[ご]を<b>勉[べん] 強[きょう]</b>しています。		"ベ<span style=""text-decoration:overline;"">ンキョー</span>"		925	名詞，可 +する 作動詞	
